Title,Description,Links,Publication Date

МЭА: доходы России от экспорта нефти и газа в январе рухнули на 38%,"В январе 2023 года доходы России от экспорта нефти и газа сократились на 38% и составили $18,5 млрд на фоне западных ограничений и введении Евросоюзом и странами G7 потолка цен. За аналогичный период 2022 года доходы страны составили $30 млрд.",https://www.kommersant.ru/doc/5844005,"Wed, 01 Mar 2023 08:32:50 +0300"

"Лукашенко: будет сильным Китай, будет развиваться и Белоруссия","Президент Белоруссии Александр Лукашенко встретился с премьером Госсовета КНР Ли Кэцяном в Пекине. Господин Лукашенко заявил, что Белоруссия будет сильной и развивающей страной, если будет сильным Китай.",https://www.kommersant.ru/doc/5843998,"Wed, 01 Mar 2023 08:25:27 +0300"

В Госдуму внесены поправки о 15 годах лишения свободы за дискредитацию участников спецоперации,"Спикер Госдумы Вячеслав Володин сообщил, что внес вместе с группой депутатов поправки в Уголовный кодекс и КоАП. Они предполагают введение ответственности за дискредитацию участников специальной военной операции на Украине.",https://www.kommersant.ru/doc/5844001,"Wed, 01 Mar 2023 08:18:51 +0300"

Число погибших при столкновении поездов в Греции достигло 32 человек,"В результате столкновения пассажирского и грузового поездов вблизи греческого города Лариса, по обновленным данным, погибло 32 человека. Из-за аварии пострадали 85 человек.",https://www.kommersant.ru/doc/5843994,"Wed, 01 Mar 2023 07:59:04 +0300"

В Благовещенске введен режим повышенной готовности из-за выхода грунтовых вод,В нескольких районах Благовещенска на поверхность вышли грунтовые воды. Также зафиксирован подъем воды в реке Бурхановка.,https://www.kommersant.ru/doc/5843985,"Wed, 01 Mar 2023 07:23:04 +0300"

Главные новости к утру 1 марта,С 1 марта в России вступили в силу ряд нововведений:   Депутаты и сенаторы теперь могут не публиковать сведения о доходах и собственности. В декларациях не будут указывать персональные данные чиновников.,https://www.kommersant.ru/doc/5843977,"Wed, 01 Mar 2023 07:04:29 +0300"

«Работа.ру»: электромеханик и сварщик вошли в число высокооплачиваемых профессий марта,"Самыми высокооплачиваемыми профессиями в марте по версии «Работа.ру» стали сварщик, архитектор и электромеханик. Им готовы платить ежемесячно от 250 тыс. до 300 тыс. руб. Данные сервиса «Работа.ру» приводит ТАСС.",https://www.kommersant.ru/doc/5843978,"Wed, 01 Mar 2023 06:46:28 +0300"

Минобороны отчиталось о строительстве нового военного городка в Чечне,"Строители Минобороны завершают работы по возведению нового военного городка на территории Чеченской республики. В нем будут размещены подразделения, дислоцированные в Чечне.",https://www.kommersant.ru/doc/5843974,"Wed, 01 Mar 2023 06:08:06 +0300"

"Rheinmetall поставит Украине системы ПВО, предназначенные для защиты Берлина","Глава германского оборонного концерна Rheinmetall Армин Паппергер сообщил, что его компания передала Украине системы противовоздушной обороны (ПВО) Skynex и Skyranger. Как отметил глава концерна, эти системы могли бы использовать для защиты неба Берлина.",https://www.kommersant.ru/doc/5843973,"Wed, 01 Mar 2023 05:50:46 +0300"

Число погибших при столкновении двух поездов в Греции выросло до 29,"В результате столкновения пассажирского и грузового поездов в Греции погибли 29 человек, 85 пострадали. Об этом сообщил официальный представитель пожарной службы Греции Василис Вартакояннис в эфире телеканала ERT1.",https://www.kommersant.ru/doc/5843972,"Wed, 01 Mar 2023 05:21:26 +0300"

ФБР считает наиболее вероятной причиной пандемии COVID-19 утечку из лаборатории,"Федеральное бюро расследований (ФБР) США считает наиболее вероятной причиной начала пандемии коронавируса утечку из лаборатории в Ухане, которую контролировали власти КНР. Об этом сообщил директор ФБР Кристофер Рей.",https://www.kommersant.ru/doc/5843969,"Wed, 01 Mar 2023 05:13:35 +0300"

ФНС увеличила отчисления в консолидированный бюджет России на 18%,"Размер отчислений Федеральной налоговой службы (ФНС) в консолидированный бюджет России 2022 году вырос на 18% (5 трлн руб.) по сравнению с показателем 2021 года -- до 33,58 трлн руб. Об этом сообщила пресс-служба ФНС.",https://www.kommersant.ru/doc/5843968,"Wed, 01 Mar 2023 04:46:16 +0300"

«Ведомости» узнали о создании реестра пострадавших от обстрелов предприятий,"Уполномоченный при президенте России по защите прав предпринимателей Борис Титов предложил создать единый реестр предприятий, которые пострадали от обстрелов, для выделения им поддержки от государства. Об этом сообщила газета «Ведомости» со ссылкой на письмо Бориса Титова премьер-министру Михаилу Мишустину.",https://www.kommersant.ru/doc/5843967,"Wed, 01 Mar 2023 04:23:09 +0300"

Депутат Госдумы Хамзаев призвал запретить часть аниме из-за «ЧВК Рёдан»,"Депутат Госдумы Султан Хамзаев считает, что отдельные аниме-сериалы нужно запретить. По его мнению, «аниме-контент» содержит признаки «деструктивного толка», которые могут разрушить традиционные ценности.",https://www.kommersant.ru/doc/5843966,"Wed, 01 Mar 2023 04:01:44 +0300"

Пятнадцать человек погибли при столкновении двух поездов в Греции,"В Греции столкнулись пассажирский и грузовой составы. Три вагона пассажирского поезда перевернулись, начался пожар.",https://www.kommersant.ru/doc/5843965,"Wed, 01 Mar 2023 03:34:02 +0300"

Власти Украины сообщили о пяти сбитых беспилотниках в Полтавской области,"В Полтавской области Украины системы противовоздушной обороны (ПВО) сбили пять беспилотников, сообщил глава региона Дмитрий Лунин. «Известно о поражении до 5 вражеских беспилотников.",https://www.kommersant.ru/doc/5843964,"Wed, 01 Mar 2023 03:26:19 +0300"

Патрушев встретился с президентом Венесуэлы,"Секретарь Совета безопасности Николай Патрушев встретился с президентом Венесуэлы Николасом Мадуро. Встреча прошла в Каракасе, сообщила пресс-служба господина Мадуро в Twitter.",https://www.kommersant.ru/doc/5843963,"Wed, 01 Mar 2023 03:02:47 +0300"

Компания Александра Ткачева заплатит за курорт «Архыз» 24 млрд рублей,"Компания «Горные вершины», связанная с родственниками экс-губернатора Краснодарского края и главы Минсельхоза Александра Ткачева, предложила за горнолыжный курорт «Архыз» в Карачаево-Черкессии на сумму в 24,2 млрд руб. Об этом сообщил РБК со ссылкой на протокол подведения заключительного этапа переторжки на право покупки акций УК «Архыз».",https://www.kommersant.ru/doc/5843962,"Wed, 01 Mar 2023 02:43:27 +0300"

Nvidia добавила функцию масштабирования изображения видео в браузерах,"Американская компания Nvidia выпустила новый драйвер Game Ready Driver, в котором стала доступна технология RTX Video Super Resolution. Пока что она доступна только для видеокарт GeForce RTX 30-й и 40-й серий, однако в будущем в компании планируют добавить ее и для видеокарт GeForce RTX 20-й серии.",https://www.kommersant.ru/doc/5843935,"Wed, 01 Mar 2023 02:27:13 +0300"

Число погибших при землетрясениях в Турции выросло до 45 тыс. человек,Число жертв двух землетрясений в Турции увеличилось до 45 089 человек. Об этом сообщила газета Hurriyet со ссылкой на Управление по чрезвычайным ситуациям Турции.,https://www.kommersant.ru/doc/5843954,"Wed, 01 Mar 2023 02:07:09 +0300"

Казахстанский Bereke bank перестанет выдавать наличные с карт «Мир» некоторых банков,"Bereke bank из Казахстана, которые раньше принадлежал «Сбербанку», перестанет выдавать наличные с карт «Мир» российский банков, попавших под санкции США. Об этом vc.ru рассказали в пресс-службе банка.",https://www.kommersant.ru/doc/5843953,"Wed, 01 Mar 2023 02:03:41 +0300"

МВД Белоруссии отчиталось о задержании 200 подростков из «ЧВК Рёдан»,"За один день белорусская милиция задержала 200 человек, в том числе 183 подростка. В МВД Белоруссии утверждают, что несовершеннолетние принадлежали «субкультуре» «ЧВК Рёдан».",https://www.kommersant.ru/doc/5843951,"Wed, 01 Mar 2023 01:36:05 +0300"

Пентагон подготовил более 4 тыс. украинских военных за год,Министерство обороны США подготовило больше 4 тыс. украинских военнослужащих с начала боевых действий на Украине. Об этом сообщил во вторник начальник Оперативного управления Комитета начальников штабов вооруженных сил США генерал-лейтенант Дуглас Симс.,https://www.kommersant.ru/doc/5843950,"Wed, 01 Mar 2023 01:13:22 +0300"

WhatsApp добавил возможность создания стикеров из фотографий,"Мессенджер WhatsApp (принадлежит Meta, которая признана в РФ экстремистской и запрещена) выпустил обновление, в котором появилась возможность создавать стикеры из фотографий пользователя. Функция пока доступна только для пользователей устройств Apple с операционной системой iOS 16.",https://www.kommersant.ru/doc/5843927,"Wed, 01 Mar 2023 00:44:01 +0300"

Помощник госсекретаря США обвинил компанию из КНР в поставке спутниковых снимков ЧВК «Вагнер»,"Китайская компания Spacety Co предоставляла частной военной компании «Вагнер» спутниковые снимки, заявил помощник госсекретаря США по делам Восточной Азии и Тихого океана Дэниел Критенбринк. «Одна из компаний, внесенных в черный список, Spacety Co предоставляла спутниковые снимки ЧВК ""Вагнер""»,--  сказал Дэниел Критенбринк, выступая на слушаниях комитета по иностранным делам Палаты представителей Конгресса США, его слова приводит Reuters.",https://www.kommersant.ru/doc/5843930,"Wed, 01 Mar 2023 00:36:40 +0300"

В нескольких областях Украины объявили воздушную тревогу,"Воздушная тревога объявлена в Черниговской, Сумской и Полтавской областях Украины. Об этом сообщило издание «Страна» со ссылкой на режим оповещения граждан.",https://www.kommersant.ru/doc/5843926,"Wed, 01 Mar 2023 00:16:59 +0300"

Главные анонсы 1 марта,"Президент России Владимир Путин примет участие в церемонии открытия Большой кольцевой линии московского метро. В эксплуатацию будут введены девять последних станций Большого кольца: «Марьина роща», «Рижская», «Сокольники», «Текстильщики», «Печатники», «Нагатинский затон», «Кленовый бульвар», «Каширская» и «Варшавская».",https://www.kommersant.ru/doc/5843917,"Wed, 01 Mar 2023 00:01:33 +0300"

